"field_ID","Lab_ID","V4","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V22","V23","V24","V25","V26","V27","V28","V29","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V45","V46","V47","V49","V59","V67","V71","V73","V74","V75","V80","V82","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153"
"165_26_31","22_040",1010,146,NA,39.7,NA,18.2,50.2,127,21.1,NA,35.1,NA,402,NA,NA,NA,NA,240,433,37400,NA,685,133,3030,NA,3340,611,NA,8060,1330,NA,658,2400,31400,484,322,3300,7250,29000,40400,20600,14600,4160,2290,842,17200,15100,5680,11300,111000,NA,94.4,4140,93700,3890,787,1860,361,73.9,NA,3090,NA,254,916,NA,1750,1710,72,NA,795,533,218,545,NA,557,40.2,279,NA,2110,NA,262,144,116,872,268,NA,1130,2200,2120,NA,115,228,107,260,546,282,163,129,482,NA,108,407,35.9,526,NA,261,18.3,658,132,3.35,16,26.9,6.73,18.2
"165_26_35","22_074",1670,214,54.3,NA,NA,702,77,NA,225,55.6,NA,NA,16500,NA,7010,NA,NA,NA,3070,58200,NA,7770,505,15300,NA,8400,1050,NA,23400,1010,NA,2260,3660,47400,3150,NA,7490,12000,52700,61000,36300,25600,8350,3180,2030,NA,28800,8970,17800,222000,NA,63.9,8450,179000,5190,981,3530,1010,NA,NA,5960,10.7,482,1630,NA,2500,3520,32.6,1570,148,1160,936,1520,1170,NA,458,NA,NA,3400,104,487,384,437,2110,1060,NA,2810,1660,2190,93.7,189,151,384,634,521,221,129,157,491,88.5,286,NA,1050,NA,517,12.2,1190,236,8.38,7.39,54.4,13.2,15.1,NA
"165_26_40","22_069",1130,129,NA,15.6,NA,207,346,NA,34.2,50.4,NA,NA,4890,NA,2240,NA,NA,NA,NA,11600,NA,2590,249,3950,NA,2380,101,NA,8460,547,NA,849,2020,1430,1680,172,4900,5450,7740,9160,5020,3460,378,2180,384,2120,9220,1710,5450,124000,52,NA,3820,113000,889,2070,2250,480,9.85,NA,8380,41.5,NA,2030,NA,4180,5020,6.98,NA,779,305,114,539,NA,868,211,332,84.6,2350,435,486,130,198,447,1420,197,556,836,3270,NA,311,431,339,502,1650,NA,268,200,NA,624,46.7,116,233,594,112,329,14.3,NA,1060,2.62,13.2,16,13.7,19.3
"165_26_41","22_053",1670,280,20.9,100,NA,317,457,NA,119,7.25,44.4,NA,8240,NA,3500,NA,NA,NA,2180,21000,NA,4260,336,4350,1050,3040,494,NA,7840,1980,NA,1070,2090,2320,1700,157,3480,4330,5790,6530,9470,6830,721,1060,264,840,14100,1260,4500,104000,156,48.3,3130,101000,1350,1380,1850,439,8.34,NA,3470,1420,104,2990,NA,7090,2840,23.7,NA,995,512,267,373,76.2,317,344,84.6,15.1,1930,NA,608,99.3,103,467,1050,411,1170,1450,954,2340,89,223,111,339,559,503,252,206,183,444,150,132,246,362,78.7,469,35.7,NA,732,3.97,3.58,29.7,6.65,13.5
"165_26_55","22_045",1560,362,NA,28.6,23.3,258,NA,79.2,59.7,NA,50.1,21.1,708,29.3,NA,NA,NA,290,683,31700,NA,4820,326,9030,1480,5310,726,40.2,12400,809,NA,1150,2250,4010,1540,504,5730,14200,22600,29500,9070,4780,2500,1950,1950,2960,13900,2870,10900,159000,NA,78.9,8270,127000,1390,1030,1350,1420,NA,NA,3660,166,210,1300,NA,2780,1500,115,NA,1040,782,679,966,NA,1350,249,791,NA,2200,NA,264,448,NA,2440,1900,NA,NA,NA,1730,NA,124,109,137,416,982,437,NA,329,484,NA,373,263,22.9,1060,NA,352,0.765,763,152,4.01,23.1,4.75,8.52,11
"165_26_6",NA,1850,299,NA,NA,NA,NA,NA,NA,NA,NA,32.6,6790,5480,1400,3010,130,NA,20.2,NA,17900,NA,5260,265,5240,1240,2600,72.2,NA,14200,425,NA,1100,2540,19600,1110,NA,11100,17800,24700,26800,24600,16200,1860,1770,1320,1530,13000,NA,9420,156000,NA,60.1,6660,122000,2220,1380,1890,847,NA,15.5,5810,NA,502,1220,NA,4490,2990,NA,NA,1520,670,455,270,102,643,87.7,180,NA,1580,46.6,243,341,431,1290,417,736,NA,2540,1970,NA,82.2,175,96,296,670,NA,128,228,386,NA,449,225,818,220,358,27.9,NA,678,2.14,4.22,27.9,12.8,7.44,12.6
"165_26_72","22_050",1110,150,NA,17.8,6.84,17.3,54.7,NA,NA,NA,25.3,19.5,241,14.1,218,292,6.02,48,NA,22600,NA,468,46.6,1450,NA,2240,271,NA,6050,789,NA,592,2390,19400,625,405,5710,9260,30500,49600,18400,10400,2090,1620,490,9380,16600,6670,12300,119000,NA,60.9,4580,99600,2350,1120,1550,626,NA,NA,3440,2.25,165,883,NA,1880,2220,24.5,NA,1240,513,396,497,67.9,599,66.3,218,NA,2060,NA,267,110,112,400,1010,NA,1010,3900,1850,NA,150,139,125,152,532,163,95.9,83.3,374,114,320,576,272,1420,264,398,26.5,0.563,506,5.75,15.6,15.5,9.21,10.3
"165_26_9",NA,1660,250,NA,88.9,NA,340,447,NA,110,NA,31.6,NA,NA,NA,NA,NA,NA,NA,1400,20900,NA,3490,280,4510,1040,2100,186,NA,11700,336,NA,1300,2050,6220,853,118,5160,12100,12300,13400,9550,6260,3290,433,531,153,14100,2180,5820,97400,NA,78.1,3810,71800,1020,572,1090,497,3.17,29.6,4080,NA,331,776,NA,1520,1650,90.8,NA,886,223,232,265,NA,439,94.8,214,NA,1290,NA,290,132,293,601,1200,NA,832,1520,1610,NA,91.7,115,89.1,253,600,412,147,258,NA,336,145,114,165,327,236,271,25.4,547,118,6,22.4,10.9,11.5,18.2
"165_26_93","22_111",1940,358,NA,249,27.2,NA,481,NA,25.6,NA,NA,NA,151,1.57,216,NA,28.8,173,NA,3130,NA,3110,189,2450,790,1160,55.4,NA,2790,355,NA,859,2200,24500,914,NA,4960,12300,17100,19300,32400,22400,2860,2070,1870,5600,13300,NA,9550,139000,NA,47.4,5640,106000,1760,893,1710,844,12.6,4.41,5830,1030,919,1220,NA,2420,2160,NA,NA,886,382,482,311,200,568,53.7,221,NA,2060,NA,298,417,383,965,NA,1070,NA,3550,3180,NA,495,381,51.2,220,754,305,305,437,645,301,1350,414,37.9,1630,NA,583,28.5,620,138,4.05,36.8,5.64,10.3,13.5
"165_26_95","22_136",907,115,6.59,16.6,5.7,86.1,126,NA,11.2,2.91,77,NA,NA,4.6,258,261,32,134,164,22100,NA,285,131,4150,NA,2050,812,2.62,8730,736,NA,354,1010,1190,837,148,2420,6330,7820,10800,5680,2430,1130,1950,1170,2490,6130,8940,5490,92900,NA,0.0989,4900,74700,828,766,756,660,265,NA,1710,36.5,140,781,NA,1900,494,78,NA,394,566,619,147,NA,668,121,373,NA,1350,168,170,30.8,175,NA,NA,NA,NA,NA,NA,1370,163,67.1,21.9,321,680,422,451,355,126,292,207,13.8,275,235,275,153,72,1.09,427,2.55,26.2,11.9,14.1,15.9
"165_26B_15","22_034",890,NA,7.07,1.56,74.6,157,13.8,9.24,9.16,13.2,NA,797,413,74.2,335,NA,418,NA,NA,7010,NA,3550,NA,2400,1040,998,135,0.308,5580,338,NA,720,1640,5270,381,306,4990,9840,20800,26700,11300,7350,545,2900,1120,2140,19500,3730,12100,198000,NA,NA,7820,165000,1340,1590,4860,341,31.8,NA,6410,8.33,NA,3800,12800,NA,3180,NA,2530,206,433,315,278,1280,170,132,23,2130,NA,49.5,279,281,319,2100,NA,NA,1450,759,1780,115,106,125,334,614,261,138,101,501,NA,957,192,NA,2010,NA,435,40,531,210,7.53,6.48,32.3,8.22,7.52,NA
"165_26B_168_redo",NA,1820,271,91.1,NA,NA,486,20.2,44.2,190,16.4,36.2,NA,7850,NA,4610,NA,NA,NA,1160,38300,NA,5460,321,6670,1660,4260,551,NA,10500,940,NA,1910,2190,6160,1600,132,4040,9290,13200,15700,19000,12600,4600,922,2120,NA,13700,6220,9670,164000,NA,89.3,7390,127000,1910,1050,1820,797,33.2,NA,3600,NA,357,1110,NA,3320,1120,51.1,NA,1140,694,914,308,NA,961,188,538,NA,2120,NA,183,230,NA,1260,840,NA,NA,2510,1510,NA,119,223,365,NA,689,372,308,331,208,272,30.7,197,200,250,216,49.5,1.57,469,2.85,2.12,16.6,8.47,12,NA
"165_26B_21",NA,1530,174,38.2,NA,11.9,117,NA,199,98.6,NA,107,NA,1200,NA,NA,NA,NA,435,1240,59700,NA,5840,520,10000,1220,7170,977,42.3,15300,1200,NA,1250,3830,36700,1120,NA,6510,24500,48300,57800,23300,16600,2380,1510,1470,2810,22100,3370,13200,198000,NA,118,9630,169000,2380,1330,4340,845,107,9.17,5240,2.58,93.6,5220,13600,NA,2340,20.4,880,943,1010,599,699,NA,952,310,488,NA,2310,NA,468,381,NA,1930,NA,NA,3130,NA,1110,52.9,84.9,36.8,406,NA,753,367,250,199,416,59.1,266,NA,2000,309,635,15.9,NA,987,3.35,3.38,24.3,12.7,14.4,NA
